,page,date,title,tokenized,action,pair,duration
25,1,2022-04-07,NZDUSD back below 200 day MA. Bears/sellers making a further play to the downside today,"['nzdusd', 'back', '200', 'day', '.', 'bears/sellers', 'make', 'play', 'downside', 'today']",bear,nzd/usd,fivemin_counter
26,1,2022-04-07,AUDUSD holds above 38.2 retracement but continues to knock on supports door,"['audusd', 'hold', '38.2', 'retracement', 'continue', 'knock', 'support', 'door']",na,aud/usd,fivemin_counter
27,1,2022-04-07,Canadian dollar seen higher if BoC front-loads rate hikesReuters poll,"['canadian', 'dollar', 'see', 'higher', 'boc', 'front-loads', 'rate', 'hikesreuters', 'poll']",bull,['cad'],fivemin_counter
28,1,2022-04-07,USDCAD tests the 38.2 retracement of move down from March high,"['usdcad', 'test', '38.2', 'retracement', 'move', 'march', 'high']",bull,usd/cad,fivemin_counter
29,1,2022-04-07,USDJPY stuck in the mud nearer highs and above 100 hour MA,"['usdjpy', 'stick', 'mud', 'nearer', 'highs', '100', 'hour']",na,usd/jpy,fivemin_counter
30,1,2022-04-07,WeChat Joins the Digital Yuan Pilot Program,"['wechat', 'join', 'digital', 'yuan', 'pilot', 'program']",na,[],fivemin_counter
31,1,2022-04-07,GBPUSD price action makes you want to lie down until the feeling to trade goes away,"['gbpusd', 'price', 'action', 'make', 'want', 'lie', 'feel', 'trade', 'go', 'away']",na,gbp/usd,fivemin_counter
32,1,2022-04-07,EURUSD up and down and up bounces continue today,"['eurusd', 'bounce', 'continue', 'today']",na,eur/usd,fivemin_counter
33,1,2022-04-07,Dollar Drops From Two-Year High Euro Bounces Off New Lows,"['dollar', 'drop', 'two-year', 'high', 'euro', 'bounce', 'new', 'low']",bear,['eur'],fivemin_counter
34,1,2022-04-07,Pound Euro GBP/EUR Exchange Rate Russia-Ukraine and Cost-of-Living Remain the Focus,"['pound', 'euro', 'gbp/eur', 'exchange', 'rate', 'russia-ukraine', 'cost-of-living', 'remain', 'focus']",na,eur/gbp,fivemin_counter
35,2,2022-04-07,Bearish bets on Asian FX ease as central banks tilt towards rate hikes Reuters poll,"['bearish', 'bet', 'asian', 'fx', 'ease', 'central', 'bank', 'tilt', 'towards', 'rate', 'hike', 'reuters', 'poll']",na,[],fivemin_counter
36,2,2022-04-07,Dollar Down but Near Two Year High as Fed’s Hawkish Stance Caps Losses,"['dollar', 'near', 'two', 'year', 'high', 'feed', '’', 'hawkish', 'stance', 'cap', 'losses']",bull,[],fivemin_counter
37,2,2022-04-06,U.S. dollar to stay dominant so long as Fed stays hawkish Reuters poll,"['u.s.', 'dollar', 'stay', 'dominant', 'long', 'feed', 'stay', 'hawkish', 'reuters', 'poll']",na,['usd'],fivemin_counter
38,2,2022-04-06,Ebbing dollar reserves only scratch on dominance McGeever,"['ebb', 'dollar', 'reserve', 'scratch', 'dominance', 'mcgeever']",na,[],fivemin_counter
39,2,2022-04-06,U.S. dollar climbs to near two-year peak on prospect of sizable Fed rate hikes,"['u.s.', 'dollar', 'climb', 'near', 'two-year', 'peak', 'prospect', 'sizable', 'feed', 'rate', 'hike']",bull,['usd'],fivemin_counter
40,2,2022-04-06,Ruble Erases Invasion Loss Bucking Default Risks Sanctions,"['ruble', 'erase', 'invasion', 'loss', 'buck', 'default', 'risk', 'sanction']",bear,[],fivemin_counter
41,2,2022-04-06,Dollar Surges on Aggressive Fed Expectations Euro Slips,"['dollar', 'surge', 'aggressive', 'feed', 'expectations', 'euro', 'slip']",bear,['eur'],fivemin_counter
42,2,2022-04-06,Dollar Up Near Two-Year High as Fed Maintains Hawkish Tone,"['dollar', 'near', 'two-year', 'high', 'feed', 'maintain', 'hawkish', 'tone']",bull,[],fivemin_counter
43,2,2022-04-05,U.S. dollar rises to nearly two-year high on hawkish Fed comments,"['u.s.', 'dollar', 'rise', 'nearly', 'two-year', 'high', 'hawkish', 'feed', 'comment']",bull,['usd'],fivemin_counter
44,2,2022-04-05,Dollar Edges Lower Ahead of Fed Minutes Aussie Dollar Soars,"['dollar', 'edge', 'lower', 'ahead', 'feed', 'minutes', 'aussie', 'dollar', 'soar']",bear,['aud'],fivemin_counter
45,2,2022-04-04,U.S. dollar firms on prospect of more sanctions over Ukraine,"['u.s.', 'dollar', 'firm', 'prospect', 'sanction', 'ukraine']",na,['usd'],fivemin_counter
46,2,2022-04-04,Dollar Stabilizes Euro Falls as Russia Sanctions Talk Ramps Up,"['dollar', 'stabilize', 'euro', 'fall', 'russia', 'sanction', 'talk', 'ramp']",bear,['eur'],fivemin_counter
47,2,2022-04-03,Euro Lower on Prospect of More Sanctions on Russia,"['euro', 'lower', 'prospect', 'sanction', 'russia']",bear,['eur'],fivemin_counter
48,2,2022-04-02,China central bank expands digital yuan pilot scheme to more cities,"['china', 'central', 'bank', 'expand', 'digital', 'yuan', 'pilot', 'scheme', 'cities']",bull,[],fivemin_counter
49,2,2022-04-02,Ukraine's gold and forex reserves stand at $29 billion says official,"['ukraine', ""'s"", 'gold', 'forex', 'reserve', 'stand', '$', '29', 'billion', 'say', 'official']",na,[],fivemin_counter
50,2,2022-04-01,Dollar rises after robust U.S. jobs data euro dips,"['dollar', 'rise', 'robust', 'u.s.', 'job', 'data', 'euro', 'dip']",na,eur/usd,fivemin_counter
51,2,2022-04-01,Lira deposit scheme payouts loom as Turkey juggles finances,"['lira', 'deposit', 'scheme', 'payouts', 'loom', 'turkey', 'juggle', 'finance']",na,[],fivemin_counter
